Ano Calendário,Faixa de Salários-Mínimos,"Bolsas de estudo e de pesquisa caracterizadas como doação, exceto médico-residente ou Pronatec, exclusivamente para proceder a estudos ou pesquisas e desde que os resultados dessas atividades não representem vantagem para o doador, nem importem contraprestação de serviços","Bolsas de estudo e de pesquisa caracterizadas como doação, quando recebidas exclusivamente para proceder a estudos ou pesquisas, recebidas por médico-residente e por servidor da rede pública de educação profissional, científica e tecnológica que participe das atividades do Pronatec","Capital das apólices de seguro ou pecúlio pago por morte do segurado, prêmio de seguro restituído em qualquer caso e pecúlio recebido de entidades de previdência privada em decorrência de morte ou invalidez permanente","Indenizações por rescisão de contrato de trabalho, inclusive a título de PDV, e por acidente de trabalho; e FGTS","Ganho de capital na alienação de bem, direito ou conjunto de bens ou direitos da mesma natureza, alienados em um mesmo mês, de valor total de alienação até R$ 20.000,00, para ações alienadas no mercado de balcão, e R$ 35.000,00, nos demais casos","Ganho de capital na alienação do único imóvel por valor igual ou inferior a R$ 440.000,00 e que, nos últimos 5 anos, não tenha efetuado nenhuma outra alienação de imóvel","Ganho de capital na venda de imóveis residenciais para aquisição, no prazo de 180 dias, de imóveis residenciais localizados no Brasil e redução sobre o ganho de capital","Ganho de capital na alienação de moeda estrangeira mantida em espécie cujo total de alienações, no ano-calendário, seja igual ou inferior ao equivalente a US$ 5,000.00",Lucros e dividendos recebidos,"Parcela isenta de proventos de aposentadoria, reserva remunerada, reforma e pensão de declarante com 65 anos ou mais","Pensão, proventos de aposentadoria ou reforma por moléstia grave ou aposentadoria ou reforma por acidente em serviço","Rendimentos de cadernetas de poupança, letras hipotecárias, letras de crédito do agronegócio e imobiliário (LCA e LCI) e certificados de recebíveis do agronegócio e imobiliários (CRA e CRI)","Rendimento de sócio ou titular de microempresa ou empresa de pequeno porte optante pelo Simples Nacional, exceto pro labore, aluguéis e serviços prestados",Transferências patrimoniais - doações e heranças,Imposto sobre a renda de anos-calendário anteriores compensado judicialmente neste ano-calendário,"75% (setenta e cinco por cento) dos rendimentos do trabalho assalariado recebidos em moeda estrangeira por servidores de autarquias ou repartições do Governo Brasileiro situadas no exterior, convertidos em reais",Incorporação de reservas ao capital / Bonificações em ações,Transferências patrimoniais - meação e dissolução da sociedade conjugal e da unidade familiar,"Ganhos líquidos em operações no mercado à vista de ações negociadas em bolsas de valores nas alienações realizadas até R$ 20.000,00 em cada mês, para o conjunto de ações","Ganhos líquidos em operações com ouro, ativo financeiro, nas alienações realizadas até R$ 20.000,00 em cada mês","Rendimento bruto, até o máximo de 90%, da prestação de serviços decorrente do transporte de carga e com trator, máquina de terraplenagem, colheitadeira e assemelhados","Rendimento bruto, até o máximo de 40%, da prestação de serviços decorrente do transporte de passageiros",Restituição de imposto sobre a renda de anos-calendário anteriores,Outros,Parcela isenta correspondente à atividade rural,"Recuperação de prejuízos em Renda Variável (bolsa de valores, de mercadorias, de futuros e assemelhados e fundos de investimento imobiliário)",Demais Rend. isentos e não-tributáveis dos dependentes,"Benefícios ind. e reembolso desp. receb. voluntário Fifa, da Subsidiária Fifa Brasil ou Comitê Organizador Brasileiro (LOC)"
2018,De 7 a 10,"R$ 252.984.896,00","R$ 115.884.790,20","R$ 355.977.536,90","R$ 2.759.608.785,00","R$ 0,00","R$ 122.878.921,50","R$ 51.287.768,61","R$ 809.455,35","R$ 8.570.087.947,00","R$ 1.794.925.622,00","R$ 4.886.152.726,00","R$ 3.003.258.340,00","R$ 9.278.616.129,00","R$ 2.666.596.728,00","R$ 6.528.270,50","R$ 15.579.549,51","R$ 34.503.767,68","R$ 139.078.361,40","R$ 50.840.537,92","R$ 7.064.321,50","R$ 847.912.899,00","R$ 23.528.807,04","R$ 92.307.899,28","R$ 5.455.662.058,00","R$ 5.809.636.965,00","R$ 37.128.346,85","R$ 0,00","R$ 0,00"
2018,De 10 a 15,"R$ 210.150.068,00","R$ 210.482.585,30","R$ 469.696.359,30","R$ 3.343.776.374,00","R$ 0,00","R$ 237.842.086,50","R$ 115.428.477,00","R$ 1.249.750,38","R$ 14.455.293.740,00","R$ 1.591.250.306,00","R$ 8.601.542.239,00","R$ 3.362.144.197,00","R$ 12.652.966.010,00","R$ 3.800.412.434,00","R$ 8.081.756,36","R$ 22.061.322,38","R$ 46.911.575,80","R$ 248.697.433,30","R$ 59.359.799,23","R$ 10.434.431,47","R$ 1.274.337.071,00","R$ 15.967.866,16","R$ 91.202.551,30","R$ 6.943.377.673,00","R$ 5.939.435.879,00","R$ 53.935.654,96","R$ 0,00","R$ 0,00"
2018,De 15 a 20,"R$ 76.152.224,40","R$ 52.292.498,70","R$ 367.884.997,10","R$ 2.402.450.525,00","R$ 0,00","R$ 229.725.563,30","R$ 121.828.913,50","R$ 843.565,91","R$ 13.746.120.780,00","R$ 883.394.849,30","R$ 7.167.044.897,00","R$ 2.367.648.751,00","R$ 9.773.891.209,00","R$ 3.153.142.474,00","R$ 3.246.035,85","R$ 53.435.776,78","R$ 49.978.933,93","R$ 266.460.585,60","R$ 45.739.161,80","R$ 9.104.371,79","R$ 964.795.993,70","R$ 8.060.050,62","R$ 62.978.983,29","R$ 4.766.491.236,00","R$ 3.684.279.119,00","R$ 44.327.279,24","R$ 0,00","R$ 0,00"
2018,De 20 a 30,"R$ 48.567.583,78","R$ 23.068.133,82","R$ 565.264.727,30","R$ 3.153.894.396,00","R$ 0,00","R$ 365.926.563,00","R$ 214.974.765,60","R$ 996.189,11","R$ 23.352.907.270,00","R$ 915.698.017,70","R$ 11.427.769.580,00","R$ 3.196.407.398,00","R$ 13.437.599.010,00","R$ 5.255.227.992,00","R$ 6.821.023,34","R$ 279.339.584,40","R$ 107.797.551,30","R$ 500.329.278,10","R$ 55.201.721,68","R$ 12.065.919,53","R$ 1.197.257.647,00","R$ 7.523.915,74","R$ 94.383.562,03","R$ 6.004.937.826,00","R$ 4.599.038.354,00","R$ 81.025.003,26","R$ 0,00","R$ 0,00"
2018,De 30 a 40,"R$ 18.004.725,44","R$ 9.385.268,35","R$ 408.791.918,70","R$ 1.985.962.571,00","R$ 0,00","R$ 254.826.474,80","R$ 154.760.705,20","R$ 1.020.318,54","R$ 18.736.841.180,00","R$ 469.223.199,90","R$ 8.122.199.280,00","R$ 2.114.045.322,00","R$ 8.642.875.962,00","R$ 4.136.762.903,00","R$ 5.513.942,51","R$ 206.319.362,20","R$ 98.023.115,09","R$ 421.276.192,90","R$ 28.253.338,84","R$ 4.362.313,45","R$ 433.369.165,30","R$ 4.060.084,20","R$ 73.187.451,55","R$ 3.680.889.008,00","R$ 2.868.110.585,00","R$ 56.062.996,37","R$ 0,00","R$ 0,00"
2018,De 40 a 60,"R$ 15.728.910,75","R$ 7.283.676,68","R$ 582.749.942,90","R$ 2.075.495.503,00","R$ 0,00","R$ 72.382.966,58","R$ 188.632.298,30","R$ 1.878.289,39","R$ 26.205.869.330,00","R$ 396.070.332,10","R$ 3.775.447.629,00","R$ 2.813.205.140,00","R$ 9.214.235.413,00","R$ 6.161.352.562,00","R$ 6.873.782,88","R$ 260.030.503,40","R$ 210.248.724,90","R$ 697.411.416,20","R$ 29.400.113,45","R$ 5.175.712,80","R$ 321.351.161,00","R$ 2.017.044,41","R$ 90.566.788,69","R$ 4.320.337.609,00","R$ 3.730.222.124,00","R$ 85.825.319,46","R$ 0,00","R$ 0,00"
2018,De 60 a 80,"R$ 3.601.559,88","R$ 4.443.908,27","R$ 378.319.523,80","R$ 1.043.975.389,00","R$ 0,00","R$ 25.149.149,09","R$ 112.232.636,10","R$ 393.826,57","R$ 17.802.913.900,00","R$ 176.018.578,40","R$ 1.090.850.524,00","R$ 1.750.568.341,00","R$ 4.986.273.901,00","R$ 4.293.389.237,00","R$ 2.146.499,28","R$ 70.234.950,49","R$ 208.319.554,30","R$ 551.024.106,10","R$ 14.980.480,61","R$ 2.112.141,11","R$ 101.427.746,60","R$ 811.073,86","R$ 48.540.745,70","R$ 2.540.888.662,00","R$ 2.339.194.657,00","R$ 75.343.523,04","R$ 0,00","R$ 0,00"
2018,De 80 a 160,"R$ 8.437.328,39","R$ 1.947.365,52","R$ 738.289.087,80","R$ 1.528.892.760,00","R$ 0,00","R$ 15.697.208,51","R$ 166.146.843,40","R$ 1.778.110,03","R$ 39.875.898.040,00","R$ 230.196.255,60","R$ 699.625.175,80","R$ 3.737.988.730,00","R$ 6.927.333.222,00","R$ 9.985.428.822,00","R$ 8.539.084,43","R$ 16.969.275,67","R$ 631.480.925,00","R$ 1.202.304.940,00","R$ 20.916.520,33","R$ 1.719.430,74","R$ 102.253.597,80","R$ 1.487.172,00","R$ 45.736.114,34","R$ 4.454.679.837,00","R$ 4.816.454.037,00","R$ 164.959.893,30","R$ 0,00","R$ 0,00"
2018,De 160 a 240,"R$ 3.590.734,73","R$ 192.229,09","R$ 372.788.874,20","R$ 425.683.442,00","R$ 0,00","R$ 3.746.388,28","R$ 49.003.352,86","R$ 2.968.881,66","R$ 21.572.984.720,00","R$ 71.466.767,20","R$ 181.657.527,60","R$ 1.996.810.415,00","R$ 1.883.710.535,00","R$ 5.329.921.406,00","R$ 1.195.530,95","R$ 1.666.494,62","R$ 468.354.706,30","R$ 739.986.066,00","R$ 6.511.233,72","R$ 570.357,82","R$ 8.883.448,03","R$ 119.078,40","R$ 10.563.359,36","R$ 2.080.156.500,00","R$ 2.207.996.856,00","R$ 103.751.187,50","R$ 0,00","R$ 0,00"
2018,De 240 a 320,"R$ 247.178,40","R$ 40.528.399,16","R$ 244.167.525,90","R$ 189.311.779,70","R$ 0,00","R$ 4.204.103,94","R$ 40.997.001,68","R$ 746.154,88","R$ 14.293.507.000,00","R$ 33.117.254,84","R$ 116.793.737,00","R$ 1.344.716.147,00","R$ 732.468.692,50","R$ 3.497.206.882,00","R$ 3.381.189,18","R$ 1.298.293,36","R$ 510.980.071,00","R$ 455.999.915,40","R$ 3.531.400,92","R$ 85.652,76","R$ 7.358.065,86","R$ 0,00","R$ 5.171.344,29","R$ 1.447.750.134,00","R$ 1.351.142.433,00","R$ 93.418.548,99","R$ 0,00","R$ 0,00"
2018,Mais de 320,"R$ 293.027,53","R$ 280.276,63","R$ 867.061.721,30","R$ 370.458.310,80","R$ 0,00","R$ 1.327.559,25","R$ 1.429.484.026,00","R$ 50.502,23","R$ 108.693.742.100,00","R$ 73.419.955,92","R$ 835.329.463,50","R$ 12.279.681.150,00","R$ 1.033.921.506,00","R$ 40.283.623.930,00","R$ 382.056,17","R$ 936.379,38","R$ 16.737.885.230,00","R$ 5.511.640.927,00","R$ 6.871.245,05","R$ 1.509.845,25","R$ 15.132.889,97","R$ 133.840,00","R$ 111.660.001,30","R$ 10.846.599.270,00","R$ 5.736.981.626,00","R$ 468.829.797,00","R$ 0,00","R$ 0,00"
2017,Até 1/2,"R$ 44.218.427,96","R$ 14.018.997,85","R$ 6.862.090,17","R$ 913.092.536,70","R$ 0,00","R$ 369.556,60","R$ 542.702,94","R$ 313.533,69","R$ 285.642.076,00","R$ 102.531.942,10","R$ 52.971.250,23","R$ 2.824.748.817,00","R$ 322.212.889,50","R$ 11.071.791,44","R$ 834.695,74","R$ 84.593,70","R$ 1.941.097,65","R$ 452.515,05","R$ 10.087.251,15","R$ 653.411,56","R$ 1.839.382,20","R$ 9.663.368,87","R$ 319.692.038,50","R$ 5.797.388.273,00","R$ 38.224.049,11","R$ 1.948.640,90","R$ 0,00","R$ 0,00"
2017,De 1/2 a 1,"R$ 94.006.353,51","R$ 31.568.830,48","R$ 18.494.632,05","R$ 1.675.619.134,00","R$ 0,00","R$ 1.575.434,30","R$ 840.503,55","R$ 432.322,78","R$ 436.434.958,00","R$ 579.673.565,30","R$ 228.091.368,40","R$ 2.063.904.633,00","R$ 759.202.407,20","R$ 64.085.848,53","R$ 1.155.492,50","R$ 178.390,17","R$ 2.061.507,69","R$ 1.818.355,60","R$ 14.144.777,15","R$ 924.104,85","R$ 6.731.878,14","R$ 44.096.995,51","R$ 211.565.329,80","R$ 6.899.269.318,00","R$ 132.758.011,50","R$ 4.043.407,20","R$ 0,00","R$ 0,00"
2017,De 1 a 2,"R$ 275.808.052,00","R$ 74.794.299,37","R$ 80.490.551,04","R$ 3.052.776.331,00","R$ 0,00","R$ 6.435.768,31","R$ 2.909.097,74","R$ 1.326.837,92","R$ 1.496.121.885,00","R$ 6.874.633.480,00","R$ 1.343.307.542,00","R$ 3.076.125.770,00","R$ 3.030.069.262,00","R$ 364.197.261,90","R$ 2.864.061,48","R$ 832.872,84","R$ 4.616.939,26","R$ 10.100.298,70","R$ 30.956.983,18","R$ 3.772.805,16","R$ 39.493.684,85","R$ 273.285.687,90","R$ 248.134.631,50","R$ 8.492.760.282,00","R$ 585.744.703,30","R$ 11.636.037,03","R$ 0,00","R$ 0,00"
2017,De 2 a 3,"R$ 367.648.772,80","R$ 211.191.184,80","R$ 133.164.145,80","R$ 2.486.452.757,00","R$ 0,00","R$ 12.000.479,02","R$ 5.655.950,87","R$ 659.569,90","R$ 1.847.055.676,00","R$ 42.205.139.470,00","R$ 2.424.808.733,00","R$ 3.542.703.042,00","R$ 3.414.583.053,00","R$ 663.158.443,20","R$ 3.159.675,54","R$ 1.365.273,84","R$ 5.419.768,57","R$ 20.050.762,75","R$ 25.331.977,98","R$ 3.358.031,84","R$ 88.453.244,29","R$ 165.953.366,50","R$ 204.029.416,90","R$ 5.782.848.981,00","R$ 1.030.063.392,00","R$ 13.213.231,56","R$ 0,00","R$ 0,00"
2017,De 3 a 5,"R$ 560.183.684,10","R$ 618.157.450,50","R$ 301.392.909,00","R$ 3.932.477.904,00","R$ 0,00","R$ 38.849.855,19","R$ 16.509.412,02","R$ 1.121.500,63","R$ 4.546.610.601,00","R$ 7.724.076.839,00","R$ 4.538.382.924,00","R$ 5.025.397.266,00","R$ 7.063.315.004,00","R$ 2.257.480.132,00","R$ 6.751.690,68","R$ 5.006.728,03","R$ 15.023.085,99","R$ 64.479.857,89","R$ 40.878.184,23","R$ 5.150.061,58","R$ 337.948.114,80","R$ 145.814.078,40","R$ 212.964.595,40","R$ 7.717.264.686,00","R$ 2.916.424.503,00","R$ 28.040.766,52","R$ 0,00","R$ 0,00"
2017,De 5 a 7,"R$ 296.734.325,90","R$ 143.094.814,80","R$ 262.961.097,50","R$ 3.000.899.897,00","R$ 0,00","R$ 59.430.890,75","R$ 25.255.566,25","R$ 1.078.498,24","R$ 4.870.585.568,00","R$ 2.339.623.747,00","R$ 3.749.858.438,00","R$ 3.241.591.975,00","R$ 6.217.040.912,00","R$ 2.648.207.070,00","R$ 5.274.078,46","R$ 7.887.399,58","R$ 16.673.477,28","R$ 78.885.911,34","R$ 30.115.218,24","R$ 4.815.241,47","R$ 479.963.843,90","R$ 51.490.386,62","R$ 107.882.911,00","R$ 4.752.650.239,00","R$ 3.381.444.181,00","R$ 27.881.889,50","R$ 0,00","R$ 0,00"
2017,De 7 a 10,"R$ 257.633.035,30","R$ 127.075.587,20","R$ 348.114.998,90","R$ 3.483.483.863,00","R$ 0,00","R$ 114.314.230,30","R$ 48.707.644,21","R$ 512.958,63","R$ 8.244.570.295,00","R$ 1.679.071.112,00","R$ 4.625.935.470,00","R$ 3.323.772.391,00","R$ 8.430.813.616,00","R$ 2.566.036.811,00","R$ 6.368.738,93","R$ 18.333.948,87","R$ 29.225.261,51","R$ 134.712.974,00","R$ 35.215.782,04","R$ 6.719.671,93","R$ 807.075.128,40","R$ 22.720.036,74","R$ 92.656.557,25","R$ 5.108.919.703,00","R$ 5.003.874.972,00","R$ 35.094.935,01","R$ 0,00","R$ 0,00"
2017,De 10 a 15,"R$ 185.320.597,60","R$ 173.012.111,90","R$ 453.925.902,90","R$ 4.201.221.370,00","R$ 0,00","R$ 202.492.042,80","R$ 102.682.310,80","R$ 964.388,82","R$ 13.196.437.160,00","R$ 1.461.880.556,00","R$ 8.173.793.901,00","R$ 3.726.753.045,00","R$ 10.960.267.600,00","R$ 3.599.079.470,00","R$ 6.830.903,30","R$ 30.540.285,40","R$ 42.069.885,22","R$ 251.847.671,30","R$ 48.883.787,39","R$ 7.799.276,98","R$ 1.122.374.732,00","R$ 14.773.544,21","R$ 92.870.275,81","R$ 6.413.206.335,00","R$ 5.451.212.841,00","R$ 53.252.402,54","R$ 0,00","R$ 0,00"
2017,De 15 a 20,"R$ 68.939.565,95","R$ 41.186.680,79","R$ 360.508.010,60","R$ 3.219.098.974,00","R$ 0,00","R$ 214.255.884,90","R$ 108.155.012,90","R$ 692.420,62","R$ 12.699.355.590,00","R$ 809.528.995,60","R$ 6.572.433.460,00","R$ 2.618.476.130,00","R$ 8.505.229.638,00","R$ 2.994.462.671,00","R$ 5.066.339,81","R$ 91.193.715,80","R$ 48.320.297,70","R$ 267.608.654,60","R$ 36.227.171,82","R$ 7.125.125,92","R$ 827.104.706,10","R$ 7.032.138,17","R$ 60.775.311,43","R$ 4.324.231.938,00","R$ 3.205.144.337,00","R$ 43.785.378,87","R$ 0,00","R$ 0,00"
2017,De 20 a 30,"R$ 41.742.587,18","R$ 25.780.818,92","R$ 546.887.859,70","R$ 4.920.475.392,00","R$ 0,00","R$ 338.445.714,50","R$ 203.143.072,60","R$ 659.659,71","R$ 21.438.127.470,00","R$ 838.138.410,40","R$ 10.870.493.880,00","R$ 3.513.387.206,00","R$ 11.669.405.410,00","R$ 4.899.496.515,00","R$ 9.414.678,95","R$ 268.123.224,20","R$ 87.807.318,02","R$ 493.005.678,00","R$ 47.683.996,10","R$ 11.067.533,21","R$ 917.731.310,20","R$ 7.074.472,74","R$ 89.250.266,79","R$ 6.042.003.971,00","R$ 3.905.420.988,00","R$ 65.839.396,03","R$ 0,00","R$ 0,00"
2017,De 30 a 40,"R$ 18.037.557,32","R$ 10.088.406,56","R$ 409.706.758,70","R$ 3.251.861.372,00","R$ 0,00","R$ 244.043.653,20","R$ 145.706.823,40","R$ 92.444,80","R$ 16.773.656.210,00","R$ 424.465.284,40","R$ 6.953.184.123,00","R$ 2.399.667.016,00","R$ 7.222.096.320,00","R$ 3.837.726.591,00","R$ 4.749.482,09","R$ 179.296.376,70","R$ 84.381.808,85","R$ 408.921.209,00","R$ 21.301.060,80","R$ 2.463.130,18","R$ 316.831.147,40","R$ 3.584.164,86","R$ 62.349.413,95","R$ 3.805.881.480,00","R$ 2.434.491.538,00","R$ 51.349.601,46","R$ 0,00","R$ 0,00"
2017,De 40 a 60,"R$ 18.239.666,43","R$ 6.967.083,83","R$ 593.459.170,80","R$ 3.551.837.124,00","R$ 0,00","R$ 78.834.079,27","R$ 201.148.625,80","R$ 284.849,60","R$ 24.566.339.660,00","R$ 359.026.664,10","R$ 3.472.016.709,00","R$ 3.099.405.648,00","R$ 8.522.743.614,00","R$ 5.733.624.094,00","R$ 5.583.882,67","R$ 197.164.864,50","R$ 178.413.991,60","R$ 681.205.625,30","R$ 23.468.216,66","R$ 4.313.334,99","R$ 223.753.382,20","R$ 3.636.036,42","R$ 74.764.774,45","R$ 4.243.369.402,00","R$ 3.055.050.857,00","R$ 80.928.665,20","R$ 0,00","R$ 0,00"
2017,De 60 a 80,"R$ 6.930.979,95","R$ 4.081.048,36","R$ 332.723.428,20","R$ 1.880.046.729,00","R$ 0,00","R$ 17.489.576,44","R$ 115.591.142,50","R$ 105.008,35","R$ 16.661.091.660,00","R$ 163.648.344,50","R$ 1.016.996.953,00","R$ 2.062.525.147,00","R$ 4.601.981.634,00","R$ 3.909.040.704,00","R$ 1.749.733,21","R$ 22.888.039,27","R$ 183.840.553,70","R$ 516.864.113,80","R$ 11.364.589,19","R$ 1.571.443,36","R$ 77.157.112,10","R$ 880.296,45","R$ 35.450.113,05","R$ 2.378.846.974,00","R$ 1.947.865.414,00","R$ 61.250.365,30","R$ 0,00","R$ 0,00"
2017,De 80 a 160,"R$ 13.260.436,63","R$ 21.736.364,16","R$ 756.564.892,70","R$ 2.230.691.494,00","R$ 0,00","R$ 15.567.713,85","R$ 197.859.425,00","R$ 1.426.672,68","R$ 37.587.507.650,00","R$ 215.054.879,50","R$ 676.707.696,40","R$ 4.365.930.460,00","R$ 6.228.052.127,00","R$ 9.432.629.899,00","R$ 6.598.739,98","R$ 7.649.275,12","R$ 524.995.177,40","R$ 1.207.620.785,00","R$ 16.718.736,98","R$ 2.236.212,50","R$ 52.494.655,40","R$ 91.471,24","R$ 41.744.763,46","R$ 3.935.768.103,00","R$ 4.238.682.425,00","R$ 154.475.271,60","R$ 0,00","R$ 0,00"
2017,De 160 a 240,"R$ 2.928.656,48","R$ 68.673.416,74","R$ 294.139.415,40","R$ 533.604.701,00","R$ 0,00","R$ 4.538.255,30","R$ 63.342.954,15","R$ 14.000,00","R$ 20.180.016.000,00","R$ 65.218.615,91","R$ 147.769.256,30","R$ 2.335.003.461,00","R$ 1.543.700.471,00","R$ 4.981.333.504,00","R$ 225.415,72","R$ 1.373.240,62","R$ 445.675.472,40","R$ 688.173.787,90","R$ 3.931.712,76","R$ 667.349,36","R$ 9.086.646,00","R$ 2.122.361,33","R$ 12.307.706,22","R$ 1.829.299.272,00","R$ 1.883.891.321,00","R$ 80.858.526,51","R$ 0,00","R$ 0,00"
2017,De 240 a 320,"R$ 39.590.854,95","R$ 467.133.759,10","R$ 194.697.616,90","R$ 219.237.348,10","R$ 0,00","R$ 736.158,39","R$ 32.465.510,41","R$ 1.138,91","R$ 13.330.074.510,00","R$ 29.341.247,87","R$ 71.214.673,88","R$ 1.577.180.969,00","R$ 586.978.131,30","R$ 3.152.505.480,00","R$ 5.007,47","R$ 0,00","R$ 347.481.346,80","R$ 422.210.901,00","R$ 2.364.639,66","R$ 251.599,74","R$ 7.517.069,63","R$ 0,00","R$ 7.433.260,53","R$ 1.210.532.956,00","R$ 1.003.846.065,00","R$ 48.896.214,43","R$ 0,00","R$ 0,00"
2017,Mais de 320,"R$ 6.558.003,11","R$ 53.859.895,45","R$ 1.151.838.596,00","R$ 560.388.352,30","R$ 0,00","R$ 5.742.885,70","R$ 237.196.829,30","R$ 57.241,59","R$ 83.071.230.960,00","R$ 67.695.952,94","R$ 324.532.343,50","R$ 14.911.417.930,00","R$ 893.903.327,20","R$ 55.370.619.530,00","R$ 0,00","R$ 10.134.832,05","R$ 9.026.668.927,00","R$ 3.758.954.344,00","R$ 6.941.362,10","R$ 866.923,23","R$ 15.529.822,55","R$ 146.322,00","R$ 30.067.198,21","R$ 10.311.159.540,00","R$ 4.860.961.862,00","R$ 416.756.096,00","R$ 0,00","R$ 0,00"
2016,Até 1/2,"R$ 35.339.081,06","R$ 10.598.875,38","R$ 6.320.485,77","R$ 762.780.461,00","R$ 0,00","R$ 374.225,60","R$ 469.195,34","R$ 570.284,88","R$ 234.498.964,00","R$ 92.294.172,90","R$ 48.890.751,65","R$ 2.778.147.933,00","R$ 281.011.404,30","R$ 9.978.686,98","R$ 746.626,88","R$ 74.253,04","R$ 3.055.212,13","R$ 385.925,54","R$ 6.596.359,29","R$ 463.447,46","R$ 1.655.803,15","R$ 8.559.096,95","R$ 301.211.404,20","R$ 4.985.104.342,00","R$ 31.987.642,95","R$ 1.346.097,47","R$ 0,00","R$ 0,00"
2016,De 1/2 a 1,"R$ 115.287.929,30","R$ 38.522.068,20","R$ 16.560.698,71","R$ 1.460.502.340,00","R$ 0,00","R$ 1.402.309,38","R$ 1.067.492,03","R$ 674.820,95","R$ 363.212.759,10","R$ 516.038.334,90","R$ 205.794.851,80","R$ 2.225.874.007,00","R$ 674.913.616,50","R$ 57.631.061,44","R$ 993.619,57","R$ 118.909,64","R$ 3.596.961,25","R$ 1.757.265,16","R$ 10.157.946,47","R$ 849.938,74","R$ 6.360.720,86","R$ 32.775.665,07","R$ 214.232.027,40","R$ 6.764.986.539,00","R$ 113.711.738,50","R$ 2.967.000,38","R$ 0,00","R$ 0,00"
2016,De 1 a 2,"R$ 296.165.008,60","R$ 70.373.833,16","R$ 69.642.076,36","R$ 2.751.718.683,00","R$ 0,00","R$ 6.303.723,27","R$ 3.042.427,27","R$ 1.342.576,76","R$ 1.211.867.646,00","R$ 6.244.643.090,00","R$ 1.122.679.739,00","R$ 3.241.740.734,00","R$ 2.612.094.103,00","R$ 335.374.391,40","R$ 2.058.869,06","R$ 508.748,05","R$ 8.033.589,44","R$ 9.806.378,61","R$ 21.146.446,57","R$ 2.883.600,34","R$ 37.842.799,68","R$ 275.898.363,30","R$ 248.567.865,60","R$ 8.103.862.806,00","R$ 510.956.591,00","R$ 8.181.192,71","R$ 0,00","R$ 0,00"
2016,De 2 a 3,"R$ 366.985.155,20","R$ 172.555.951,50","R$ 111.747.904,70","R$ 2.173.338.862,00","R$ 0,00","R$ 12.471.830,95","R$ 5.664.300,11","R$ 720.908,35","R$ 1.599.296.825,00","R$ 39.494.225.940,00","R$ 1.814.515.019,00","R$ 3.345.428.552,00","R$ 3.035.199.286,00","R$ 601.253.001,90","R$ 3.068.629,72","R$ 1.618.034,82","R$ 9.577.654,97","R$ 16.301.925,63","R$ 16.188.466,79","R$ 2.627.972,69","R$ 81.827.530,27","R$ 171.367.659,60","R$ 187.487.450,70","R$ 5.296.754.540,00","R$ 893.178.848,10","R$ 9.843.362,61","R$ 0,00","R$ 0,00"
2016,De 3 a 5,"R$ 574.632.726,90","R$ 591.005.425,90","R$ 256.535.609,90","R$ 3.483.245.351,00","R$ 0,00","R$ 35.812.464,13","R$ 18.390.169,01","R$ 974.681,05","R$ 4.004.104.303,00","R$ 8.492.673.168,00","R$ 4.066.540.301,00","R$ 5.263.458.916,00","R$ 6.191.994.209,00","R$ 2.169.887.891,00","R$ 5.941.955,79","R$ 4.724.148,19","R$ 24.478.029,80","R$ 59.024.697,75","R$ 27.068.380,63","R$ 5.194.027,35","R$ 317.548.255,80","R$ 163.674.301,40","R$ 210.133.323,20","R$ 7.185.830.332,00","R$ 2.659.085.872,00","R$ 20.122.854,40","R$ 0,00","R$ 0,00"
2016,De 5 a 7,"R$ 304.052.078,00","R$ 126.754.677,80","R$ 230.326.978,10","R$ 2.572.493.778,00","R$ 0,00","R$ 53.950.238,34","R$ 22.175.908,42","R$ 757.521,05","R$ 4.370.238.631,00","R$ 2.543.222.714,00","R$ 3.358.418.234,00","R$ 3.298.256.652,00","R$ 5.673.547.977,00","R$ 2.302.038.615,00","R$ 5.539.399,82","R$ 8.477.352,84","R$ 27.198.940,59","R$ 71.494.657,62","R$ 18.220.527,10","R$ 4.528.856,98","R$ 454.170.742,20","R$ 66.118.354,04","R$ 103.672.763,10","R$ 4.250.181.570,00","R$ 3.234.452.950,00","R$ 20.009.204,87","R$ 0,00","R$ 0,00"
2016,De 7 a 10,"R$ 289.509.424,80","R$ 130.534.729,60","R$ 312.339.752,90","R$ 2.917.730.887,00","R$ 0,00","R$ 108.390.703,00","R$ 53.599.041,35","R$ 763.701,75","R$ 7.467.189.072,00","R$ 1.784.862.736,00","R$ 4.144.653.372,00","R$ 3.279.978.876,00","R$ 7.663.897.411,00","R$ 2.395.340.536,00","R$ 5.792.394,90","R$ 16.792.873,55","R$ 48.332.960,14","R$ 122.933.151,10","R$ 21.418.861,22","R$ 7.066.063,87","R$ 752.641.349,60","R$ 32.941.020,53","R$ 87.371.814,45","R$ 4.726.084.630,00","R$ 4.775.969.036,00","R$ 27.355.116,07","R$ 0,00","R$ 0,00"
