Ano Calendário,Faixa de Salários-Mínimos,"Bolsas de estudo e de pesquisa caracterizadas como doação, exceto médico-residente ou Pronatec, exclusivamente para proceder a estudos ou pesquisas e desde que os resultados dessas atividades não representem vantagem para o doador, nem importem contraprestação de serviços","Bolsas de estudo e de pesquisa caracterizadas como doação, quando recebidas exclusivamente para proceder a estudos ou pesquisas, recebidas por médico-residente e por servidor da rede pública de educação profissional, científica e tecnológica que participe das atividades do Pronatec","Capital das apólices de seguro ou pecúlio pago por morte do segurado, prêmio de seguro restituído em qualquer caso e pecúlio recebido de entidades de previdência privada em decorrência de morte ou invalidez permanente","Indenizações por rescisão de contrato de trabalho, inclusive a título de PDV, e por acidente de trabalho; e FGTS","Ganho de capital na alienação de bem, direito ou conjunto de bens ou direitos da mesma natureza, alienados em um mesmo mês, de valor total de alienação até R$ 20.000,00, para ações alienadas no mercado de balcão, e R$ 35.000,00, nos demais casos","Ganho de capital na alienação do único imóvel por valor igual ou inferior a R$ 440.000,00 e que, nos últimos 5 anos, não tenha efetuado nenhuma outra alienação de imóvel","Ganho de capital na venda de imóveis residenciais para aquisição, no prazo de 180 dias, de imóveis residenciais localizados no Brasil e redução sobre o ganho de capital","Ganho de capital na alienação de moeda estrangeira mantida em espécie cujo total de alienações, no ano-calendário, seja igual ou inferior ao equivalente a US$ 5,000.00",Lucros e dividendos recebidos,"Parcela isenta de proventos de aposentadoria, reserva remunerada, reforma e pensão de declarante com 65 anos ou mais","Pensão, proventos de aposentadoria ou reforma por moléstia grave ou aposentadoria ou reforma por acidente em serviço","Rendimentos de cadernetas de poupança, letras hipotecárias, letras de crédito do agronegócio e imobiliário (LCA e LCI) e certificados de recebíveis do agronegócio e imobiliários (CRA e CRI)","Rendimento de sócio ou titular de microempresa ou empresa de pequeno porte optante pelo Simples Nacional, exceto pro labore, aluguéis e serviços prestados",Transferências patrimoniais - doações e heranças,Imposto sobre a renda de anos-calendário anteriores compensado judicialmente neste ano-calendário,"75% (setenta e cinco por cento) dos rendimentos do trabalho assalariado recebidos em moeda estrangeira por servidores de autarquias ou repartições do Governo Brasileiro situadas no exterior, convertidos em reais",Incorporação de reservas ao capital / Bonificações em ações,Transferências patrimoniais - meação e dissolução da sociedade conjugal e da unidade familiar,"Ganhos líquidos em operações no mercado à vista de ações negociadas em bolsas de valores nas alienações realizadas até R$ 20.000,00 em cada mês, para o conjunto de ações","Ganhos líquidos em operações com ouro, ativo financeiro, nas alienações realizadas até R$ 20.000,00 em cada mês","Rendimento bruto, até o máximo de 90%, da prestação de serviços decorrente do transporte de carga e com trator, máquina de terraplenagem, colheitadeira e assemelhados","Rendimento bruto, até o máximo de 40%, da prestação de serviços decorrente do transporte de passageiros",Restituição de imposto sobre a renda de anos-calendário anteriores,Outros,Parcela isenta correspondente à atividade rural,"Recuperação de prejuízos em Renda Variável (bolsa de valores, de mercadorias, de futuros e assemelhados e fundos de investimento imobiliário)",Demais Rend. isentos e não-tributáveis dos dependentes,"Benefícios ind. e reembolso desp. receb. voluntário Fifa, da Subsidiária Fifa Brasil ou Comitê Organizador Brasileiro (LOC)"
2019,De 80 a 160,"R$ 8.395.260,17","R$ 5.466.233,02","R$ 800.162.188,50","R$ 1.949.897.931,00","R$ 0,00","R$ 16.721.602,79","R$ 181.158.307,90","R$ 332.416,00","R$ 44.707.901.150,00","R$ 237.115.947,00","R$ 737.639.798,60","R$ 2.895.863.356,00","R$ 8.243.166.280,00","R$ 10.197.536.070,00","R$ 4.458.886,04","R$ 16.178.853,29","R$ 575.759.088,70","R$ 1.333.886.214,00","R$ 28.395.510,28","R$ 2.876.003,67","R$ 103.704.567,70","R$ 3.521.191,09","R$ 52.967.915,32","R$ 4.667.476.493,00","R$ 5.130.563.217,00","R$ 197.715.755,30","R$ 0,00","R$ 0,00"
2019,De 160 a 240,"R$ 2.226.122,14","R$ 385.948,83","R$ 384.688.639,60","R$ 505.305.362,10","R$ 0,00","R$ 5.480.901,30","R$ 66.747.482,24","R$ 826.706,25","R$ 24.098.221.380,00","R$ 72.890.585,29","R$ 217.952.163,80","R$ 1.667.148.982,00","R$ 2.221.168.071,00","R$ 5.361.762.606,00","R$ 250,56","R$ 2.146.454,59","R$ 441.244.466,30","R$ 745.440.176,20","R$ 8.183.470,40","R$ 659.824,12","R$ 23.747.442,08","R$ 2.354.701,79","R$ 13.838.091,97","R$ 2.302.514.686,00","R$ 2.348.942.233,00","R$ 95.168.483,26","R$ 0,00","R$ 0,00"
2019,De 240 a 320,"R$ 176.147,92","R$ 3.209.462,57","R$ 227.751.459,20","R$ 210.302.983,00","R$ 0,00","R$ 4.173.203,00","R$ 67.354.426,30","R$ 8.542,83","R$ 16.598.892.870,00","R$ 34.768.332,60","R$ 80.792.541,84","R$ 1.124.142.620,00","R$ 834.202.446,00","R$ 3.900.871.091,00","R$ 0,00","R$ 676.840,58","R$ 411.088.168,80","R$ 493.560.870,00","R$ 4.720.091,37","R$ 222.760,15","R$ 8.907.103,06","R$ 0,00","R$ 8.823.933,69","R$ 1.464.710.509,00","R$ 1.555.448.904,00","R$ 72.068.961,71","R$ 0,00","R$ 0,00"
2019,Mais de 320,"R$ 13.029.926,68","R$ 257.563,51","R$ 1.256.163.237,00","R$ 426.502.785,60","R$ 0,00","R$ 850.985,78","R$ 438.980.667,40","R$ 9.116,52","R$ 119.532.981.100,00","R$ 74.720.267,22","R$ 331.417.185,70","R$ 9.073.959.664,00","R$ 1.908.657.390,00","R$ 68.103.275.360,00","R$ 7.029,78","R$ 125.358,53","R$ 16.046.239.940,00","R$ 3.955.825.355,00","R$ 8.041.959,39","R$ 967.520,03","R$ 11.363.423,12","R$ 167.810,00","R$ 34.320.140,32","R$ 10.708.367.760,00","R$ 8.352.221.451,00","R$ 697.970.058,10","R$ 0,00","R$ 0,00"
2018,Até 1/2,"R$ 51.877.852,85","R$ 15.248.069,64","R$ 7.220.670,98","R$ 987.949.825,30","R$ 0,00","R$ 457.533,43","R$ 472.216,74","R$ 407.224,60","R$ 345.182.279,40","R$ 170.179.065,20","R$ 54.246.846,21","R$ 2.731.830.034,00","R$ 323.255.361,70","R$ 12.121.478,05","R$ 708.585,10","R$ 63.668,81","R$ 2.701.800,64","R$ 433.539,13","R$ 15.774.109,62","R$ 770.995,63","R$ 1.483.834,88","R$ 10.041.941,44","R$ 334.290.368,70","R$ 6.399.804.215,00","R$ 37.788.858,28","R$ 2.163.675,64","R$ 0,00","R$ 0,00"
2018,De 1/2 a 1,"R$ 92.867.732,72","R$ 32.064.316,65","R$ 19.590.364,25","R$ 1.720.236.874,00","R$ 0,00","R$ 1.364.956,51","R$ 856.413,48","R$ 451.529,39","R$ 522.932.305,90","R$ 705.286.774,80","R$ 238.324.931,10","R$ 1.772.972.638,00","R$ 861.656.260,90","R$ 69.335.627,25","R$ 754.179,82","R$ 236.723,48","R$ 3.137.651,22","R$ 1.902.513,49","R$ 20.831.912,77","R$ 1.273.494,15","R$ 6.921.807,72","R$ 50.563.064,89","R$ 211.186.129,00","R$ 7.228.439.711,00","R$ 131.228.906,70","R$ 4.344.009,81","R$ 0,00","R$ 0,00"
2018,De 1 a 2,"R$ 258.553.248,80","R$ 59.002.862,99","R$ 81.598.947,78","R$ 2.842.314.354,00","R$ 0,00","R$ 6.845.358,60","R$ 2.995.877,67","R$ 1.815.414,88","R$ 1.714.863.054,00","R$ 9.217.999.639,00","R$ 1.444.414.727,00","R$ 2.589.968.968,00","R$ 3.231.166.180,00","R$ 377.856.199,00","R$ 2.447.341,76","R$ 561.643,18","R$ 6.260.103,08","R$ 10.230.770,13","R$ 42.250.940,71","R$ 3.411.863,51","R$ 37.244.223,45","R$ 261.364.589,90","R$ 240.941.309,00","R$ 9.217.740.196,00","R$ 594.049.341,00","R$ 11.544.273,95","R$ 0,00","R$ 0,00"
2018,De 2 a 3,"R$ 352.710.920,40","R$ 223.277.352,10","R$ 140.323.229,20","R$ 2.179.551.314,00","R$ 0,00","R$ 14.538.562,94","R$ 4.930.952,66","R$ 953.951,13","R$ 2.224.188.510,00","R$ 46.458.058.180,00","R$ 2.445.484.012,00","R$ 3.239.237.508,00","R$ 4.096.980.003,00","R$ 701.419.703,30","R$ 3.035.900,42","R$ 2.080.324,52","R$ 6.455.024,61","R$ 19.637.153,80","R$ 35.455.487,07","R$ 3.502.090,98","R$ 85.380.917,51","R$ 174.617.377,50","R$ 210.980.902,00","R$ 6.263.248.496,00","R$ 1.055.849.377,00","R$ 13.451.577,55","R$ 0,00","R$ 0,00"
2018,De 3 a 5,"R$ 461.593.002,80","R$ 468.883.639,10","R$ 326.223.577,20","R$ 3.385.191.268,00","R$ 0,00","R$ 45.592.580,33","R$ 17.789.823,62","R$ 1.217.727,17","R$ 5.044.196.789,00","R$ 7.968.795.218,00","R$ 4.654.338.732,00","R$ 4.370.531.461,00","R$ 7.763.755.628,00","R$ 2.307.889.882,00","R$ 6.440.498,75","R$ 4.670.433,09","R$ 17.493.703,86","R$ 65.102.255,72","R$ 58.299.058,65","R$ 6.271.055,30","R$ 341.684.819,50","R$ 153.008.154,70","R$ 204.597.208,60","R$ 8.056.058.013,00","R$ 3.078.573.103,00","R$ 29.727.054,14","R$ 0,00","R$ 0,00"
2018,De 5 a 7,"R$ 278.509.863,50","R$ 140.565.734,80","R$ 288.578.539,50","R$ 2.487.610.568,00","R$ 0,00","R$ 66.192.242,95","R$ 28.181.309,34","R$ 922.929,21","R$ 5.729.699.493,00","R$ 2.413.682.041,00","R$ 3.982.316.392,00","R$ 2.845.617.490,00","R$ 7.794.080.648,00","R$ 2.988.120.443,00","R$ 5.426.377,54","R$ 6.453.492,93","R$ 18.523.614,24","R$ 83.554.310,02","R$ 45.776.411,72","R$ 6.336.545,29","R$ 498.868.162,90","R$ 52.657.128,83","R$ 101.236.994,50","R$ 5.085.178.737,00","R$ 3.692.760.802,00","R$ 28.632.489,70","R$ 0,00","R$ 0,00"
